grp,threshold_mm,lead_days,FAR,FAR_lo,FAR_hi,n_points
6_27,2.5,1,0.4869281045751634,0.4474143928691627,0.5291694479885761,4
6_28,2.5,1,0.5038051750380518,0.456872345364729,0.5479913916786227,2
7_23,2.5,1,0.39883268482490275,0.3468547969444564,0.4554116592873708,4
7_24,2.5,1,0.3687580025608195,0.32895555030145407,0.41319775622435606,4
7_25,2.5,1,0.37743589743589745,0.33778455769537474,0.41666882109617376,4
7_26,2.5,1,0.33945841392649906,0.3033679122027698,0.3793118519411623,4
7_27,2.5,1,0.35283363802559414,0.31995819447590085,0.3849895940862494,4
7_28,2.5,1,0.3371900826446281,0.30359069048436965,0.3703856370797838,4
7_29,2.5,1,0.3492537313432836,0.29801507835721963,0.40765631093201615,1
8_23,2.5,1,0.38860103626943004,0.3048390359496012,0.4822515286109829,3
8_24,2.5,1,0.3850467289719626,0.34086477523949893,0.43606947288916,4
8_25,2.5,1,0.3858974358974359,0.3494701605002215,0.4247705135521381,4
8_26,2.5,1,0.4276018099547511,0.3842189532916992,0.4703843741287984,4
8_27,2.5,1,0.4599786552828175,0.42178307995428743,0.5007052712875657,4
8_28,2.5,1,0.46646646646646645,0.42600455670541604,0.5052175562785354,4
8_29,2.5,1,0.49105691056910566,0.4395820259734734,0.5383577088649649,2
8_30,2.5,1,0.38945827232796487,0.3586824244748425,0.42172790545601263,3
8_31,2.5,1,0.4322103533278554,0.39087378835752157,0.47237601222673875,3
9_23,2.5,1,0.5,0.3780093256814921,0.625,2
9_24,2.5,1,0.5142857142857142,0.45503608759443376,0.5760280114785105,4
9_25,2.5,1,0.49854227405247814,0.4551010205251691,0.5405474351902924,4
9_26,2.5,1,0.44842562432138977,0.40943265158045894,0.4843328706568107,4
9_27,2.5,1,0.5031446540880503,0.43958382020721354,0.5652572151424287,2
9_28,2.5,1,0.5849056603773585,0.5285693236037048,0.6453689609090828,1
9_30,2.5,1,0.4004106776180698,0.3448886975771738,0.454902362584378,1
9_31,2.5,1,0.42072480181200456,0.3852769433187271,0.4555602895363753,3
9_32,2.5,1,0.5028248587570622,0.45832411504424775,0.545258911303119,2
10_24,2.5,2,0.6690647482014388,0.5923504022795842,0.7541138261676461,1
10_25,2.5,2,0.49071358748778104,0.44983497962479574,0.5314064029078709,4
10_26,2.5,2,0.5308498253783469,0.47246339372507595,0.5887833660822249,3
11_24,2.5,2,0.5019230769230769,0.4508700852922821,0.5572880066265989,2
11_25,2.5,2,0.6568265682656826,0.6147409824576117,0.696636193539916,4
11_26,2.5,2,0.7094339622641509,0.6379093995473306,0.7816691859814131,3
12_24,2.5,2,0.7413793103448276,0.666640127388535,0.8209744445365611,2
12_25,2.5,2,0.6094674556213018,0.5183025386582248,0.6910315525404566,1
3_25,2.5,2,0.5181286549707602,0.4589822949946752,0.5792654808959157,2
3_26,2.5,2,0.5575221238938053,0.5044599747087676,0.6116844535502416,2
4_25,2.5,2,0.425,0.37716081766791587,0.4736951937439592,4
4_26,2.5,2,0.5612770339855818,0.5230024227631523,0.6036219990885483,4
5_24,2.5,2,0.26764314247669774,0.2168519957968073,0.327068238727245,2
5_25,2.5,2,0.5835010060362174,0.5470032840722496,0.6242900895502513,4
5_26,2.5,2,0.5577523413111343,0.516292456076431,0.5973374028902495,4
5_27,2.5,2,0.6089965397923875,0.5477834752321982,0.6770860745614036,1
6_24,2.5,2,0.38461538461538464,0.3322677719736543,0.4345278148650808,3
6_25,2.5,2,0.472193074501574,0.4300687461522676,0.5169349488046094,4
6_26,2.5,2,0.4262135922330097,0.3863421555535089,0.46879285465492365,4
6_27,2.5,2,0.4963144963144963,0.456845525414502,0.5368253178383515,4
6_28,2.5,2,0.5038520801232665,0.4571332046332046,0.5523180348361649,2
7_23,2.5,2,0.4346076458752515,0.3782438675255384,0.49060425833395477,4
7_24,2.5,2,0.39167686658506734,0.34705772607550484,0.4360877771074086,4
7_25,2.5,2,0.37044967880085655,0.3333333333333333,0.4100874797088142,4
7_26,2.5,2,0.35477582846003897,0.316725435633431,0.39658685111602293,4
7_27,2.5,2,0.36778398510242083,0.3291121247599569,0.4076590274131853,4
7_28,2.5,2,0.3524193548387097,0.3192083184394321,0.38915875462184746,4
7_29,2.5,2,0.35185185185185186,0.2914382961318219,0.41713845546718475,1
8_23,2.5,2,0.4358974358974359,0.3543558625840179,0.5314285714285715,3
8_24,2.5,2,0.4084249084249084,0.35580521221330663,0.46251434630738525,4
8_25,2.5,2,0.40207522697795073,0.36537063123034025,0.44623414833220754,4
8_26,2.5,2,0.4330011074197121,0.39501371340769226,0.4752312768375852,4
8_27,2.5,2,0.4707757704569607,0.43272197434467374,0.5106564313346228,4
8_28,2.5,2,0.48520710059171596,0.4454168831341832,0.5231992122321327,4
8_29,2.5,2,0.5275590551181102,0.48181131787675413,0.5807180313672664,2
8_30,2.5,2,0.39869281045751637,0.3671127170595633,0.4322709356422848,3
8_31,2.5,2,0.45255474452554745,0.41269709214800726,0.4908824674555211,3
9_23,2.5,2,0.4457831325301205,0.351053467808787,0.5507246376811594,2
9_24,2.5,2,0.5632183908045977,0.5088298372107273,0.6197760089075252,4
9_25,2.5,2,0.5092989985693849,0.46560990958370907,0.5537446005017976,4
9_26,2.5,2,0.46303901437371664,0.4265481236911437,0.4979598008558262,4
9_27,2.5,2,0.5324427480916031,0.4721624361103323,0.5905746140651801,2
9_28,2.5,2,0.5805555555555556,0.5234127702932185,0.6402314618604685,1
9_30,2.5,2,0.38958333333333334,0.3326526342754675,0.44565340350186894,1
9_31,2.5,2,0.42889263631253516,0.39710586101542095,0.4608179777582039,3
9_32,2.5,2,0.5210176991150443,0.47616341991341987,0.5654675992429943,2
10_24,2.5,3,0.6434108527131783,0.5299129353233831,0.7545559903672486,1
10_25,2.5,3,0.4838709677419355,0.4432160035748947,0.5240312633304723,4
10_26,2.5,3,0.5062972292191436,0.4497379044237797,0.5658262917070238,3
11_24,2.5,3,0.5224171539961013,0.4685934596804162,0.5798769417423143,2
11_25,2.5,3,0.6640826873385013,0.619272887729261,0.7093264993213466,4
11_26,2.5,3,0.7509025270758123,0.6858724567000473,0.8154780641840391,3
12_24,2.5,3,0.7347670250896058,0.6575342465753424,0.8120418233082706,2
12_25,2.5,3,0.6234567901234568,0.5310682151077631,0.7076948051948052,1
3_25,2.5,3,0.5178997613365155,0.45988000518096367,0.5780180076848082,2
3_26,2.5,3,0.5720430107526882,0.5219105188441635,0.6262839034093102,2
4_25,2.5,3,0.4547477744807122,0.41021856391324024,0.5027199279740328,4
4_26,2.5,3,0.6088560885608856,0.5742799973715337,0.645555416118535,4
5_24,2.5,3,0.28421052631578947,0.22882142780243678,0.34159979058768963,2
5_25,2.5,3,0.5847542627883651,0.5456345775819131,0.6252546480013201,4
5_26,2.5,3,0.5788402848423194,0.5435810547812029,0.617088558519601,4
5_27,2.5,3,0.6054421768707483,0.5443751288925551,0.6723161174582193,1
6_24,2.5,3,0.3802228412256267,0.3318963962282928,0.43407423868784767,3
6_25,2.5,3,0.49044585987261147,0.44588874060485395,0.53540144583156,4
6_26,2.5,3,0.42927794263105834,0.3863069616927873,0.4744192506459948,4
6_27,2.5,3,0.4926787252368648,0.4556305405389507,0.5341173100113201,4
6_28,2.5,3,0.5080128205128205,0.46665086887835705,0.5493274373194083,2
7_23,2.5,3,0.453416149068323,0.39571518180732007,0.5132546165290702,4
7_24,2.5,3,0.39724310776942356,0.3530041506978776,0.44033059404876995,4
7_25,2.5,3,0.3855291576673866,0.34397392961039924,0.42559537247207846,4
7_26,2.5,3,0.35035035035035034,0.3165227885788913,0.3894962865699733,4
7_27,2.5,3,0.3892988929889299,0.3539591617581389,0.4255521955913952,4
7_28,2.5,3,0.3603678929765886,0.32589238886113886,0.397322244341995,4
7_29,2.5,3,0.3698224852071006,0.30833620841282083,0.4361270080321285,1
8_23,2.5,3,0.4406779661016949,0.3518467643467644,0.5207426221577165,3
8_24,2.5,3,0.4092664092664093,0.360671904941413,0.46545713668754046,4
8_25,2.5,3,0.403485254691689,0.36692431106077766,0.442225392296719,4
