point_id,lat,lon,threshold_mm,lead_days,POD,FAR,CSI,BIAS,HSS,FAR_lo,FAR_hi,NPV,NPV_lo,NPV_hi,wet_days,n
p0121,30.5,77.0,1.0,4,0.75,0.40963855421686746,0.49328859060402686,1.2704081632653061,0.5553484999777397,0.3402478932283869,0.476757399577167,0.9276218611521418,0.8995258013115156,0.9509293180304349,196,926
p0122,30.5,78.5,1.0,4,0.8553191489361702,0.4654255319148936,0.4902439024390244,1.6,0.5025676877444958,0.40577875619152454,0.5326536791421735,0.9381818181818182,0.9058812451534286,0.9641659129735705,235,926
p0123,30.5,80.0,1.0,4,0.580568720379147,0.21725239616613418,0.5,0.7417061611374408,0.4552130209058731,0.14603875160243296,0.3210332103321033,0.7112561174551386,0.6335879240585123,0.7900883633876832,422,926
p0124,32.0,75.5,1.0,4,0.8138297872340425,0.45161290322580644,0.4872611464968153,1.4840425531914894,0.5448283863246401,0.389099654128837,0.5092035748180954,0.9459041731066461,0.9273316452273105,0.964501790344487,188,926
p0125,32.0,77.0,1.0,4,0.9256965944272446,0.402,0.5706106870229007,1.5479876160990713,0.5255045570692647,0.33331858407079645,0.4726910548226643,0.9436619718309859,0.9105829243889656,0.9697000182915676,323,926
p0126,32.0,78.5,1.0,4,0.8816568047337278,0.6636568848758465,0.32181425485961124,2.621301775147929,0.30268743195084635,0.5999889380530973,0.7274834426970685,0.9585921325051759,0.9365446054857957,0.9769234800838574,169,926
p0127,33.5,74.0,1.0,4,0.7538461538461538,0.3875,0.5104166666666666,1.2307692307692308,0.5303550232006043,0.32449417675268327,0.44575795172569366,0.8943894389438944,0.8609839783344221,0.9276411024627297,260,926
p0128,33.5,75.5,1.0,4,0.8672199170124482,0.5070754716981132,0.4583333333333333,1.7593360995850622,0.444069592778218,0.4468523012840373,0.5647074062785736,0.9362549800796812,0.9049408491248595,0.9624557181047348,241,926
p0129,33.5,77.0,1.0,4,0.47333333333333333,0.5506329113924051,0.29957805907172996,1.0533333333333332,0.3536129987216578,0.45451902748414374,0.6419855285749325,0.8971354166666666,0.8643142980748432,0.9266797599994621,150,926
p0130,33.5,78.5,1.0,4,0.7340425531914894,0.7012987012987013,0.26953125,2.4574468085106385,0.32758366275502676,0.6243055555555556,0.7778033794162826,0.9640287769784173,0.9474454717875771,0.9791045815490791,94,926
