threshold_mm,lead_days,alpha,V,V_lo,V_hi,base_rate
1.0,4,0.32,0.5089515750975354,,,0.2359183927156331
1.0,4,0.34,0.4800205173649157,,,0.2359183927156331
1.0,4,0.36,0.4492812685240072,,,0.2359183927156331
1.0,4,0.38,0.4165588423385238,,,0.2359183927156331
1.0,4,0.4,0.38165492107400817,,,0.2359183927156331
1.0,4,0.42,0.3443438328257329,,,0.2359183927156331
1.0,4,0.44,0.3043676668454378,,,0.2359183927156331
1.0,4,0.46,0.2614303033851214,,,0.2359183927156331
1.0,4,0.48,0.21519006581247255,,,0.2359183927156331
1.0,4,0.5,0.16525060923401175,,,0.2359183927156331
1.0,4,0.52,0.11114953127401253,,,0.2359183927156331
1.0,4,0.54,0.05234401175227427,,,0.2359183927156331
1.0,4,0.56,-0.011807464089622025,,,0.2359183927156331
1.0,4,0.58,-0.08206860429741263,,,0.2359183927156331
1.0,4,0.6,-0.1593558585259829,,,0.2359183927156331
1.0,4,0.62,-0.24477861319966582,,,0.2359183927156331
1.0,4,0.64,-0.33969278505931355,,,0.2359183927156331
1.0,4,0.66,-0.4457733300789197,,,0.2359183927156331
1.0,4,0.68,-0.5651139432259769,,,0.2359183927156331
1.0,4,0.7,-0.700366638125974,,,0.2359183927156331
1.0,4,0.72,-0.8549411465831143,,,0.2359183927156331
1.0,4,0.74,-1.0332963486490458,,,0.2359183927156331
1.0,4,0.76,-1.2413774177259649,,,0.2359183927156331
1.0,4,0.78,-1.4872914084532347,,,0.2359183927156331
1.0,4,0.8,-1.7823881973259579,,,0.2359183927156331
1.0,4,0.82,-2.143062050392616,,,0.2359183927156331
1.0,4,0.84,-2.5939043667259427,,,0.2359183927156331
1.0,4,0.86,-3.173558773440219,,,0.2359183927156331
1.0,4,0.88,-3.946431315725921,,,0.2359183927156331
1.0,4,0.9,-5.028452874925904,,,0.2359183927156331
1.0,4,0.92,-6.651485213725874,,,0.2359183927156331
1.0,4,0.94,-9.356539111725821,,,0.2359183927156331
1.0,4,0.96,-14.766646907725736,,,0.2359183927156331
1.0,4,0.98,-30.996970295725383,,,0.2359183927156331
1.0,5,0.1,0.26085939724244517,0.1661028749186635,0.3316427679707032,0.2359183927156331
1.0,5,0.3,0.521085612668304,0.4344933622013552,0.5788647734428211,0.2359183927156331
1.0,5,0.02,-2.1038048562248335,,,0.2359183927156331
1.0,5,0.04,-0.6258896978077845,,,0.2359183927156331
1.0,5,0.06,-0.1332513116687681,,,0.2359183927156331
1.0,5,0.08,0.11306788140074021,,,0.2359183927156331
1.0,5,0.12,0.35938707447024854,,,0.2359183927156331
1.0,5,0.14,0.4297639867758222,,,0.2359183927156331
1.0,5,0.16,0.4825466710050028,,,0.2359183927156331
1.0,5,0.18,0.5235998698499207,,,0.2359183927156331
1.0,5,0.2,0.5564424289258553,,,0.2359183927156331
1.0,5,0.22,0.583313613624347,,,0.2359183927156331
1.0,5,0.24,0.5967304152497426,,,0.2359183927156331
1.0,5,0.26,0.5728784504718115,,,0.2359183927156331
1.0,5,0.28,0.5477013765395509,,,0.2359183927156331
1.0,5,0.32,0.49290421562816006,,,0.2359183927156331
1.0,5,0.34,0.46301485513103763,,,0.2359183927156331
1.0,5,0.36,0.43125740960284537,,,0.2359183927156331
1.0,5,0.38,0.3974510966212212,,,0.2359183927156331
1.0,5,0.4,0.361391029440822,,,0.2359183927156331
1.0,5,0.42,0.3228440610755678,,,0.2359183927156331
1.0,5,0.44,0.28154373782708103,,,0.2359183927156331
1.0,5,0.46,0.2371841313750027,,,0.2359183927156331
1.0,5,0.48,0.189412247503534,,,0.2359183927156331
1.0,5,0.5,0.13781861292234754,,,0.2359183927156331
1.0,5,0.52,0.08192550879272886,,,0.2359183927156331
1.0,5,0.54,0.02117213473879527,,,0.2359183927156331
1.0,5,0.56,-0.04510427332004111,,,0.2359183927156331
1.0,5,0.58,-0.11769272024162325,,,0.2359183927156331
1.0,5,0.6,-0.19754001185536452,,,0.2359183927156331
1.0,5,0.62,-0.28579228153370945,,,0.2359183927156331
1.0,5,0.64,-0.3838503589540934,,,0.2359183927156331
1.0,5,0.66,-0.4934446807768754,,,0.2359183927156331
1.0,5,0.68,-0.6167382928275046,,,0.2359183927156331
1.0,5,0.7,-0.7564710531515508,,,0.2359183927156331
1.0,5,0.72,-0.9161656363790329,,,0.2359183927156331
1.0,5,0.74,-1.1004286170261273,,,0.2359183927156331
1.0,5,0.76,-1.3154020944477383,,,0.2359183927156331
1.0,5,0.78,-1.5694616586732768,,,0.2359183927156331
1.0,5,0.8,-1.8743331357439252,,,0.2359183927156331
1.0,5,0.82,-2.246953829941379,,,0.2359183927156331
1.0,5,0.84,-2.712729697688204,,,0.2359183927156331
1.0,5,0.86,-3.311584384791262,,,0.2359183927156331
1.0,5,0.88,-4.110057300928671,,,0.2359183927156331
1.0,5,0.9,-5.227919383521046,,,0.2359183927156331
1.0,5,0.92,-6.904712507409603,,,0.2359183927156331
1.0,5,0.94,-9.699367713890524,,,0.2359183927156331
1.0,5,0.96,-15.288678126852396,,,0.2359183927156331
1.0,5,0.98,-32.0566093657379,,,0.2359183927156331
1.0,6,0.1,0.2587139545288161,0.16946692903262445,0.3272068678956312,0.2359183927156331
1.0,6,0.3,0.5078518267611334,0.4134987089657821,0.5741957837606052,0.2359183927156331
1.0,6,0.02,-2.061617928173425,,,0.2359183927156331
1.0,6,0.04,-0.6114105014845241,,,0.2359183927156331
1.0,6,0.06,-0.12800802592155752,,,0.2359183927156331
1.0,6,0.08,0.11369321185992604,,,0.2359183927156331
1.0,6,0.12,0.3553944496414094,,,0.2359183927156331
1.0,6,0.14,0.42445194615040477,,,0.2359183927156331
1.0,6,0.16,0.47624506853215126,,,0.2359183927156331
1.0,6,0.18,0.5165286081623984,,,0.2359183927156331
1.0,6,0.2,0.5487554398665963,,,0.2359183927156331
1.0,6,0.22,0.5751228476245762,,,0.2359183927156331
1.0,6,0.24,0.5879238206165482,,,0.2359183927156331
1.0,6,0.26,0.562675894626102,,,0.2359183927156331
1.0,6,0.28,0.5360253060806311,,,0.2359183927156331
1.0,6,0.32,0.47802108395225307,,,0.2359183927156331
1.0,6,0.34,0.44638241733677414,,,0.2359183927156331
1.0,6,0.36,0.41276633405782787,,,0.2359183927156331
1.0,6,0.38,0.37698147121249803,,,0.2359183927156331
